Date,1 Year,2 Year,3 Year,5 Year
2002-01-25,5.513,5.517,5.52,6.703
2002-01-30,5.515,5.521,5.524,6.704
2002-02-01,5.518,5.524,5.528,6.705
2002-02-03,5.52,5.528,5.531,6.706
2002-02-05,5.523,5.531,5.535,6.706
2002-02-07,5.525,5.535,5.539,6.707
2002-02-10,5.528,5.538,5.543,6.708
2002-02-12,5.531,5.542,5.547,6.708
2002-02-14,5.533,5.545,5.551,6.709
2002-02-16,5.536,5.549,5.555,6.71
2002-02-19,5.538,5.552,5.559,6.71
2002-02-21,5.541,5.556,5.563,6.711
2002-02-23,5.543,5.559,5.567,6.712
2002-02-25,5.546,5.562,5.571,6.712
2002-02-27,5.548,5.566,5.575,6.713
2002-03-01,5.551,5.569,5.579,6.714
2002-03-03,5.553,5.573,5.583,6.715
2002-03-05,5.556,5.576,5.587,6.715
2002-03-07,5.559,5.58,5.591,6.716
2002-03-09,5.561,5.583,5.594,6.717
2002-03-14,5.564,5.587,5.598,6.717
2002-03-19,5.566,5.59,5.602,6.718
2002-03-24,5.569,5.594,5.606,6.719
2002-03-29,5.571,5.597,5.61,6.719
2002-04-03,5.574,5.601,5.614,6.72
2002-04-08,5.576,5.604,5.618,6.721
2002-04-13,5.579,5.608,5.622,6.722
2002-04-18,5.581,5.611,5.626,6.722
2002-04-23,5.584,5.615,5.63,6.723
2002-04-25,5.587,5.618,5.634,6.724
2002-04-27,5.589,5.622,5.638,6.724
2002-04-29,5.592,5.625,5.642,6.725
2002-05-01,5.594,5.628,5.646,6.726
2002-05-03,5.597,5.632,5.65,6.726
2002-05-05,5.599,5.635,5.653,6.727
2002-05-07,5.602,5.639,5.657,6.728
2002-05-09,5.604,5.642,5.661,6.728
2002-05-12,5.607,5.646,5.665,6.729
2002-05-14,5.609,5.649,5.669,6.73
2002-05-16,5.612,5.653,5.673,6.731
2002-05-19,5.615,5.656,5.677,6.731
2002-05-21,5.617,5.66,5.681,6.732
2002-05-23,5.62,5.663,5.685,6.733
2002-05-26,5.622,5.667,5.689,6.733
2002-05-28,5.625,5.67,5.693,6.734
2002-05-30,5.627,5.674,5.697,6.735
2002-06-02,5.63,5.677,5.701,6.735
2002-06-07,5.632,5.681,5.705,6.736
2002-06-13,5.635,5.684,5.709,6.737
2002-06-19,5.638,5.688,5.712,6.738
2002-06-24,5.64,5.691,5.716,6.738
2002-06-30,5.643,5.694,5.72,6.739
2002-07-06,5.645,5.698,5.724,6.74
2002-07-11,5.648,5.701,5.728,6.74
2002-07-17,5.65,5.705,5.732,6.741
2002-07-23,5.653,5.708,5.736,6.742
2002-07-25,5.655,5.712,5.74,6.742
2002-07-27,5.658,5.715,5.744,6.743
2002-07-29,5.66,5.719,5.748,6.744
2002-07-31,5.663,5.722,5.752,6.744
2002-08-03,5.666,5.726,5.756,6.745
2002-08-05,5.668,5.729,5.76,6.746
2002-08-07,5.671,5.733,5.764,6.747
2002-08-09,5.673,5.736,5.768,6.747
2002-08-12,5.676,5.74,5.772,6.748
2002-08-15,5.678,5.743,5.775,6.749
2002-08-18,5.681,5.747,5.779,6.749
2002-08-22,5.683,5.75,5.783,6.75
2002-08-25,5.686,5.753,5.787,6.751
2002-08-29,5.688,5.757,5.791,6.751
2002-09-01,5.691,5.76,5.795,6.752
2002-09-05,5.694,5.764,5.799,6.753
2002-09-08,5.696,5.767,5.803,6.753
2002-09-12,5.699,5.771,5.807,6.754
2002-09-17,5.701,5.774,5.811,6.755
2002-09-22,5.704,5.778,5.815,6.756
2002-09-28,5.706,5.781,5.819,6.756
2002-10-03,5.709,5.785,5.823,6.757
2002-10-09,5.711,5.788,5.827,6.758
2002-10-14,5.714,5.792,5.831,6.758
2002-10-20,5.716,5.795,5.834,6.759
2002-10-25,5.719,5.799,5.838,6.76
2002-10-31,5.722,5.802,5.842,6.76
2002-11-03,5.724,5.806,5.846,6.761
2002-11-06,5.727,5.809,5.85,6.762
2002-11-10,5.729,5.812,5.854,6.762
2002-11-13,5.732,5.816,5.858,6.763
2002-11-16,5.734,5.819,5.862,6.764
2002-11-20,5.737,5.823,5.866,6.765
2002-11-23,5.739,5.826,5.87,6.765
2002-11-26,5.742,5.83,5.874,6.766
2002-11-30,5.744,5.833,5.878,6.767
2002-12-02,5.747,5.837,5.882,6.767
2002-12-04,5.75,5.84,5.886,6.768
2002-12-06,5.752,5.844,5.89,6.769
2002-12-08,5.755,5.847,5.894,6.769
2002-12-11,5.757,5.851,5.897,6.77
2002-12-13,5.76,5.854,5.901,6.771
2002-12-15,5.762,5.858,5.905,6.772
2002-12-17,5.765,5.861,5.909,6.772
2002-12-20,5.767,5.865,5.913,6.773
2002-12-24,5.77,5.868,5.917,6.774
2002-12-29,5.772,5.872,5.921,6.774
2003-01-02,5.775,5.875,5.925,6.775
2003-01-07,5.779,5.881,5.934,6.782
2003-01-11,5.784,5.887,5.944,6.788
2003-01-16,5.788,5.892,5.953,6.795
2003-01-20,5.793,5.898,5.962,6.802
2003-01-25,5.797,5.904,5.971,6.809
2003-01-30,5.801,5.91,5.981,6.815
2003-02-01,5.806,5.916,5.99,6.822
2003-02-03,5.81,5.921,5.999,6.829
2003-02-05,5.815,5.927,6.008,6.835
2003-02-07,5.819,5.933,6.018,6.842
2003-02-10,5.823,5.939,6.027,6.849
2003-02-12,5.828,5.944,6.036,6.856
2003-02-14,5.832,5.95,6.045,6.862
2003-02-16,5.837,5.956,6.055,6.869
2003-02-19,5.841,5.962,6.064,6.876
2003-02-21,5.845,5.968,6.073,6.882
2003-02-23,5.85,5.973,6.082,6.889
2003-02-25,5.854,5.979,6.092,6.896
2003-02-27,5.859,5.985,6.101,6.903
2003-03-01,5.863,5.991,6.11,6.909
2003-03-03,5.867,5.997,6.119,6.916
2003-03-05,5.872,6.002,6.129,6.923
2003-03-07,5.876,6.008,6.138,6.929
2003-03-09,5.881,6.014,6.147,6.936
2003-03-14,5.885,6.02,6.156,6.943
2003-03-19,5.889,6.025,6.166,6.95
2003-03-24,5.894,6.031,6.175,6.956
2003-03-29,5.898,6.037,6.184,6.963
2003-04-03,5.903,6.043,6.194,6.97
2003-04-08,5.907,6.049,6.203,6.976
2003-04-13,5.911,6.054,6.212,6.983
2003-04-18,5.916,6.06,6.221,6.99
2003-04-23,5.92,6.066,6.231,6.997
