Date,Average,Loan Rate
03-10-2007,7,13.225
09-10-2007,7,13.229
14-10-2007,7,13.232
20-10-2007,7,13.236
25-10-2007,7,13.239
31-10-2007,7,13.239
03-11-2007,7,13.239
06-11-2007,7,13.243
10-11-2007,7,13.246
13-11-2007,7,13.25
16-11-2007,7,13.253
20-11-2007,7,13.257
23-11-2007,7,13.26
26-11-2007,7,13.264
30-11-2007,7,13.264
02-12-2007,7,13.264
04-12-2007,7,13.267
06-12-2007,7,13.271
08-12-2007,7,13.274
11-12-2007,7,13.278
13-12-2007,7,13.281
15-12-2007,7,13.285
17-12-2007,7,13.288
20-12-2007,7,13.288
24-12-2007,7,13.288
29-12-2007,7,13.291
02-01-2008,7,13.295
07-01-2008,7,13.298
11-01-2008,7,13.302
16-01-2008,7,13.305
20-01-2008,7,13.309
25-01-2008,7,13.312
30-01-2008,7,13.312
01-02-2008,7,13.218
03-02-2008,7,13.231
05-02-2008,7,13.245
07-02-2008,7,13.258
10-02-2008,7,13.272
12-02-2008,7,13.285
14-02-2008,7,13.299
16-02-2008,7,13.312
19-02-2008,7,13.218
21-02-2008,7,13.125
23-02-2008,7,13.138
25-02-2008,7,13.152
27-02-2008,7,13.165
29-02-2008,7,13.178
02-03-2008,7,13.191
04-03-2008,7,13.205
06-03-2008,7,13.218
09-03-2008,7,13.125
14-03-2008,7,13.031
19-03-2008,7,13.044
24-03-2008,7,13.058
29-03-2008,7,13.071
03-04-2008,7,13.085
08-04-2008,7,13.098
13-04-2008,7,13.112
18-04-2008,7,13.125
23-04-2008,7,13.031
25-04-2008,7,12.937
27-04-2008,7,12.95
29-04-2008,7,12.964
01-05-2008,7,12.977
03-05-2008,7,12.991
05-05-2008,7,13.004
07-05-2008,7,13.018
09-05-2008,7,13.031
12-05-2008,7,12.937
14-05-2008,7,12.844
16-05-2008,7,12.857
19-05-2008,7,12.871
21-05-2008,7,12.884
23-05-2008,7,12.897
26-05-2008,7,12.91
28-05-2008,7,12.924
30-05-2008,7,12.937
02-06-2008,7,12.844
07-06-2008,7,12.75
13-06-2008,7,12.763
19-06-2008,7,12.777
24-06-2008,7,12.79
30-06-2008,7,12.804
06-07-2008,7,12.817
11-07-2008,7,12.831
17-07-2008,7,12.844
23-07-2008,7,12.75
25-07-2008,7,12.656
27-07-2008,7,12.669
29-07-2008,7,12.683
31-07-2008,7,12.696
03-08-2008,7,12.71
05-08-2008,7,12.723
07-08-2008,7,12.737
09-08-2008,7,12.75
12-08-2008,7,12.656
15-08-2008,7,12.563
18-08-2008,7,12.576
22-08-2008,7,12.59
25-08-2008,7,12.603
29-08-2008,7,12.616
01-09-2008,7,12.629
05-09-2008,7,12.643
08-09-2008,7,12.656
12-09-2008,7,12.563
17-09-2008,7,12.469
22-09-2008,7,12.482
28-09-2008,7,12.496
03-10-2008,7,12.509
09-10-2008,7,12.523
14-10-2008,7,12.536
20-10-2008,7,12.55
25-10-2008,7,12.563
31-10-2008,7,12.469
03-11-2008,7,12.375
06-11-2008,7,12.388
10-11-2008,7,12.402
13-11-2008,7,12.415
16-11-2008,7,12.429
20-11-2008,7,12.442
23-11-2008,7,12.456
26-11-2008,7,12.469
30-11-2008,7,12.375
02-12-2008,7,12.282
04-12-2008,6.857,12.295
06-12-2008,6.714,12.309
08-12-2008,6.571,12.322
11-12-2008,6.429,12.335
13-12-2008,6.286,12.348
15-12-2008,6.143,12.362
17-12-2008,6,12.375
20-12-2008,6,12.282
24-12-2008,6,12.188
29-12-2008,5.857,12.201
02-01-2009,5.714,12.215
07-01-2009,5.571,12.228
11-01-2009,5.429,12.242
16-01-2009,5.286,12.255
20-01-2009,5.143,12.269
25-01-2009,5,12.282
30-01-2009,5,12.188
01-02-2009,5,11.867
03-02-2009,5,11.913
05-02-2009,5,11.959
07-02-2009,5,12.005
10-02-2009,5,12.05
12-02-2009,5,12.096
14-02-2009,5,12.142
16-02-2009,5,12.188
19-02-2009,5,11.867
21-02-2009,5,11.546
23-02-2009,5,11.592
25-02-2009,5,11.638
27-02-2009,5,11.684
01-03-2009,5,11.729
03-03-2009,5,11.775
05-03-2009,5,11.821
07-03-2009,5,11.867
09-03-2009,5,11.546
14-03-2009,5,11.224
19-03-2009,4.893,11.27
24-03-2009,4.786,11.316
