Date,Gdp Per Capita,Economic Growth Rate
22-09-2002,519.738,6.556
28-09-2002,520.631,6.605
03-10-2002,521.524,6.653
09-10-2002,522.416,6.701
14-10-2002,523.309,6.749
20-10-2002,524.202,6.798
25-10-2002,525.095,6.846
31-10-2002,525.095,6.846
03-11-2002,525.095,6.846
06-11-2002,525.988,6.894
10-11-2002,526.881,6.943
13-11-2002,527.774,6.991
16-11-2002,528.666,7.039
20-11-2002,529.559,7.087
23-11-2002,530.452,7.136
26-11-2002,531.345,7.184
30-11-2002,531.345,7.184
02-12-2002,531.345,7.184
04-12-2002,532.238,7.232
06-12-2002,533.131,7.281
08-12-2002,534.024,7.329
11-12-2002,534.916,7.377
13-12-2002,535.809,7.425
15-12-2002,536.702,7.474
17-12-2002,537.595,7.522
20-12-2002,537.595,7.522
24-12-2002,537.595,7.522
29-12-2002,538.488,7.57
02-01-2003,539.381,7.619
07-01-2003,540.274,7.667
11-01-2003,541.166,7.715
16-01-2003,542.059,7.763
20-01-2003,542.952,7.812
25-01-2003,543.845,7.86
30-01-2003,543.845,7.86
01-02-2003,543.845,7.86
03-02-2003,544.801,7.861
05-02-2003,545.756,7.861
07-02-2003,546.712,7.862
10-02-2003,547.667,7.863
12-02-2003,548.623,7.864
14-02-2003,549.578,7.864
16-02-2003,550.534,7.865
19-02-2003,550.534,7.865
21-02-2003,550.534,7.865
23-02-2003,551.489,7.866
25-02-2003,552.445,7.866
27-02-2003,553.4,7.867
01-03-2003,554.356,7.868
03-03-2003,555.311,7.869
05-03-2003,556.267,7.869
07-03-2003,557.222,7.87
09-03-2003,557.222,7.87
14-03-2003,557.222,7.87
19-03-2003,558.178,7.871
24-03-2003,559.133,7.872
29-03-2003,560.089,7.873
03-04-2003,561.044,7.873
08-04-2003,562,7.874
13-04-2003,562.955,7.875
18-04-2003,563.911,7.876
23-04-2003,563.911,7.876
25-04-2003,563.911,7.876
27-04-2003,564.866,7.877
29-04-2003,565.822,7.877
01-05-2003,566.777,7.878
03-05-2003,567.733,7.879
05-05-2003,568.688,7.88
07-05-2003,569.644,7.88
09-05-2003,570.599,7.881
12-05-2003,570.599,7.881
14-05-2003,570.599,7.881
16-05-2003,571.555,7.882
19-05-2003,572.51,7.882
21-05-2003,573.466,7.883
23-05-2003,574.421,7.884
26-05-2003,575.377,7.885
28-05-2003,576.332,7.885
30-05-2003,577.288,7.886
02-06-2003,577.288,7.886
07-06-2003,577.288,7.886
13-06-2003,578.243,7.887
19-06-2003,579.199,7.888
24-06-2003,580.154,7.889
30-06-2003,581.11,7.889
06-07-2003,582.065,7.89
11-07-2003,583.021,7.891
17-07-2003,583.976,7.892
23-07-2003,583.976,7.892
25-07-2003,583.976,7.892
27-07-2003,584.932,7.893
29-07-2003,585.887,7.893
31-07-2003,586.843,7.894
03-08-2003,587.798,7.895
05-08-2003,588.754,7.896
07-08-2003,589.709,7.896
09-08-2003,590.665,7.897
12-08-2003,590.665,7.897
15-08-2003,590.665,7.897
18-08-2003,591.621,7.898
22-08-2003,592.576,7.898
25-08-2003,593.532,7.899
29-08-2003,594.487,7.9
01-09-2003,595.443,7.901
05-09-2003,596.398,7.901
08-09-2003,597.354,7.902
12-09-2003,597.354,7.902
17-09-2003,597.354,7.902
22-09-2003,598.309,7.903
28-09-2003,599.265,7.903
03-10-2003,600.22,7.904
09-10-2003,601.176,7.905
14-10-2003,602.131,7.906
20-10-2003,603.087,7.906
25-10-2003,604.042,7.907
31-10-2003,604.042,7.907
03-11-2003,604.042,7.907
06-11-2003,604.998,7.908
10-11-2003,605.953,7.908
13-11-2003,606.909,7.909
16-11-2003,607.864,7.91
20-11-2003,608.82,7.911
23-11-2003,609.775,7.911
26-11-2003,610.731,7.912
30-11-2003,610.731,7.912
02-12-2003,610.731,7.912
04-12-2003,611.686,7.913
06-12-2003,612.642,7.914
08-12-2003,613.597,7.915
11-12-2003,614.553,7.915
13-12-2003,615.508,7.916
15-12-2003,616.464,7.917
17-12-2003,617.419,7.918
20-12-2003,617.419,7.918
24-12-2003,617.419,7.918
29-12-2003,618.375,7.919
02-01-2004,619.33,7.919
07-01-2004,620.286,7.92
11-01-2004,621.241,7.921
16-01-2004,622.197,7.922
20-01-2004,623.152,7.922
25-01-2004,624.108,7.923
30-01-2004,624.108,7.923
01-02-2004,624.108,7.923
03-02-2004,625.137,7.923
05-02-2004,626.165,7.923
07-02-2004,627.194,7.923
10-02-2004,628.222,7.923
12-02-2004,629.251,7.923
14-02-2004,630.279,7.923
16-02-2004,631.308,7.923
19-02-2004,631.308,7.923
21-02-2004,631.308,7.923
23-02-2004,632.337,7.923
25-02-2004,633.365,7.923
27-02-2004,634.394,7.923
29-02-2004,635.423,7.923
02-03-2004,636.452,7.923
04-03-2004,637.48,7.923
06-03-2004,638.509,7.923
09-03-2004,638.509,7.923
14-03-2004,638.509,7.923
19-03-2004,639.538,7.923
24-03-2004,640.566,7.923
29-03-2004,641.595,7.923
03-04-2004,642.623,7.923
08-04-2004,643.652,7.923
13-04-2004,644.68,7.923
